tid,time_ms,event,value,explain
1872261120,357512591,sensor_task_4,8,end_after_ms
1872834560,357512597,sensor_task_2,12,end_after_ms
1872261120,357512611,middle_task_6,20,end_after_ms
1872834560,357512620,middle_task_3,23,end_after_ms
1872834560,357512628,sensor_task_4,8,end_after_ms
1872261120,357512630,middle_task_11,19,end_after_ms
1872261120,357512633,sensor_task_3,3,end_after_ms
1872834560,357512648,middle_task_6,20,end_after_ms
1872834560,357512667,middle_task_11,19,end_after_ms
1872261120,357512671,middle_task_4,38,end_after_ms
1872261120,357512679,sensor_task_4,8,end_after_ms
1872261120,357512699,middle_task_6,20,end_after_ms
1872834560,357512716,middle_task_5,49,end_after_ms
1872261120,357512718,middle_task_11,19,end_after_ms
1872834560,357512751,middle_task_9,35,end_after_ms
1872261120,357512759,middle_task_10,41,end_after_ms
1872834560,357512760,middle_task_12,9,end_after_ms
1872261120,357512762,sensor_task_3,3,end_after_ms
1872834560,357512768,sensor_task_4,8,end_after_ms
1872261120,357512800,middle_task_4,38,end_after_ms
1872834560,357512817,middle_task_5,49,end_after_ms
1872261120,357512820,middle_task_6,20,end_after_ms
1872834560,357512852,middle_task_9,35,end_after_ms
1872261120,357512861,middle_task_10,41,end_after_ms
1872261120,357512871,middle_task_12,9,end_after_ms
1872834560,357512871,middle_task_11,19,end_after_ms
1872261120,357512879,sensor_task_4,8,end_after_ms
1872834560,357512879,sensor_task_4,8,end_after_ms
1872834560,357512882,sensor_task_3,3,end_after_ms
1872261120,357512899,middle_task_6,20,end_after_ms
1872261120,357512918,middle_task_11,19,end_after_ms
1872834560,357512920,middle_task_4,38,end_after_ms
1872834560,357512927,sensor_task_1,7,end_after_ms
1872834560,357512960,middle_task_1,33,end_after_ms
1872261120,357512967,middle_task_5,49,end_after_ms
1872261120,357513002,middle_task_9,35,end_after_ms
1872834560,357513005,middle_task_2,45,end_after_ms
1872834560,357513014,middle_task_12,9,end_after_ms
1872834560,357513031,middle_task_7,17,end_after_ms
1872261120,357513043,middle_task_10,41,end_after_ms
1872834560,357513044,exit_task_1,12,end_after_ms
1872834560,357513052,sensor_task_4,8,end_after_ms
1872261120,357513052,middle_task_8,9,end_after_ms
1872261120,357513060,sensor_task_4,8,end_after_ms
1872261120,357513081,middle_task_6,20,end_after_ms
1872834560,357513081,middle_task_6,28,end_after_ms
1872834560,357513084,sensor_task_3,3,end_after_ms
1872261120,357513100,middle_task_11,19,end_after_ms
1872834560,357513122,middle_task_4,38,end_after_ms
1872834560,357513130,sensor_task_4,8,end_after_ms
1872261120,357513149,middle_task_5,49,end_after_ms
1872834560,357513150,middle_task_6,20,end_after_ms
1872261120,357513184,middle_task_9,35,end_after_ms
1872834560,357513191,middle_task_10,41,end_after_ms
1872834560,357513200,middle_task_12,9,end_after_ms
1872261120,357513203,middle_task_11,19,end_after_ms
1872261120,357513206,sensor_task_3,3,end_after_ms
1872834560,357513208,sensor_task_4,8,end_after_ms
1872261120,357513244,middle_task_4,38,end_after_ms
1872834560,357513257,middle_task_5,49,end_after_ms
1872261120,357513264,middle_task_6,20,end_after_ms
1872834560,357513292,middle_task_9,35,end_after_ms
1872261120,357513305,middle_task_10,41,end_after_ms
1872834560,357513311,middle_task_11,19,end_after_ms
1872261120,357513314,middle_task_12,9,end_after_ms
1872261120,357513317,sensor_task_3,3,end_after_ms
1872834560,357513319,sensor_task_4,8,end_after_ms
1872261120,357513355,middle_task_4,38,end_after_ms
1872834560,357513368,middle_task_5,49,end_after_ms
1872261120,357513375,middle_task_6,20,end_after_ms
1872834560,357513403,middle_task_9,35,end_after_ms
1872261120,357513416,middle_task_10,41,end_after_ms
1872834560,357513422,middle_task_11,19,end_after_ms
1872261120,357513425,middle_task_12,9,end_after_ms
1872261120,357513433,sensor_task_4,8,end_after_ms
1872834560,357513433,sensor_task_4,10,end_after_ms
1872834560,357513441,sensor_task_4,8,end_after_ms
1872834560,357513461,middle_task_6,20,end_after_ms
1872261120,357513461,middle_task_6,28,end_after_ms
1872834560,357513473,sensor_task_2,12,end_after_ms
1872261120,357513480,middle_task_11,19,end_after_ms
1872261120,357513487,sensor_task_1,7,end_after_ms
1872834560,357513497,middle_task_3,23,end_after_ms
1872261120,357513521,middle_task_1,33,end_after_ms
1872261120,357513529,sensor_task_4,8,end_after_ms
1872834560,357513542,middle_task_2,45,end_after_ms
1872261120,357513549,middle_task_6,20,end_after_ms
1872261120,357513558,middle_task_8,9,end_after_ms
1872834560,357513559,middle_task_7,17,end_after_ms
1872261120,357513570,exit_task_1,12,end_after_ms
1872834560,357513578,middle_task_11,19,end_after_ms
1872834560,357513586,sensor_task_4,8,end_after_ms
1872261120,357513586,sensor_task_4,15,end_after_ms
1872834560,357513594,sensor_task_4,8,end_after_ms
1872834560,357513614,middle_task_6,20,end_after_ms
1872261120,357513614,middle_task_6,28,end_after_ms
1872834560,357513617,sensor_task_3,3,end_after_ms
