tid,time_ms,event,value,explain
1875193856,357710684,sensor_task_3,3,end_after_ms
1876340736,357710690,sensor_task_1,7,end_after_ms
1874620416,357710691,sensor_task_4,11,end_after_ms
1873473536,357710691,sensor_task_4,14,end_after_ms
1875767296,357710691,sensor_task_4,8,end_after_ms
1874046976,357710703,sensor_task_2,24,end_after_ms
1875767296,357710703,sensor_task_2,12,end_after_ms
1876914176,357710703,sensor_task_2,19,end_after_ms
1874620416,357710711,middle_task_6,20,end_after_ms
1875767296,357710711,sensor_task_4,8,end_after_ms
1876914176,357710715,sensor_task_2,12,end_after_ms
1875193856,357710722,middle_task_4,38,end_after_ms
1876340736,357710723,middle_task_1,33,end_after_ms
1876340736,357710726,sensor_task_3,3,end_after_ms
1875193856,357710729,sensor_task_1,7,end_after_ms
1874620416,357710730,middle_task_11,19,end_after_ms
1875767296,357710731,middle_task_6,20,end_after_ms
1873473536,357710736,middle_task_2,45,end_after_ms
1876914176,357710738,middle_task_3,23,end_after_ms
1874046976,357710738,middle_task_3,35,end_after_ms
1874046976,357710747,middle_task_8,9,end_after_ms
1875767296,357710750,middle_task_11,19,end_after_ms
1874046976,357710750,sensor_task_3,3,end_after_ms
1873473536,357710753,middle_task_7,17,end_after_ms
1875767296,357710758,sensor_task_4,8,end_after_ms
1874620416,357710763,middle_task_1,33,end_after_ms
1874620416,357710771,sensor_task_4,8,end_after_ms
1876914176,357710783,middle_task_2,45,end_after_ms
1876340736,357710788,middle_task_4,61,end_after_ms
1874046976,357710788,middle_task_4,38,end_after_ms
1875767296,357710791,middle_task_6,32,end_after_ms
1874620416,357710791,middle_task_6,20,end_after_ms
1874620416,357710794,sensor_task_3,3,end_after_ms
1876340736,357710795,sensor_task_1,7,end_after_ms
1874046976,357710797,middle_task_8,9,end_after_ms
1876914176,357710800,middle_task_7,17,end_after_ms
1875767296,357710810,middle_task_11,19,end_after_ms
1875767296,357710822,sensor_task_2,12,end_after_ms
1874046976,357710830,middle_task_1,33,end_after_ms
1874620416,357710832,middle_task_4,38,end_after_ms
1874046976,357710833,sensor_task_3,3,end_after_ms
1876340736,357710844,middle_task_5,49,end_after_ms
1877487616,357710844,middle_task_5,160,end_after_ms
1875193856,357710844,middle_task_5,115,end_after_ms
1874620416,357710844,sensor_task_2,12,end_after_ms
1873473536,357710844,middle_task_5,91,end_after_ms
1876340736,357710844,risk1_instance,146,detect
1873473536,357710844,risk1_handler,0,end_after_ms
1876914176,357710845,middle_task_2,45,end_after_ms
1873473536,357710852,sensor_task_4,8,end_after_ms
1873473536,357710861,middle_task_8,9,end_after_ms
1876914176,357710862,middle_task_7,17,end_after_ms
1877487616,357710867,middle_task_3,23,end_after_ms
1875767296,357710867,middle_task_3,45,end_after_ms
1877487616,357710870,sensor_task_3,3,end_after_ms
1876914176,357710870,sensor_task_4,8,end_after_ms
1875767296,357710874,sensor_task_1,7,end_after_ms
1874620416,357710879,middle_task_9,35,end_after_ms
1875193856,357710885,middle_task_10,41,end_after_ms
1874620416,357710888,middle_task_12,9,end_after_ms
1875767296,357710894,middle_task_6,20,end_after_ms
1873473536,357710894,middle_task_6,32,end_after_ms
1875193856,357710897,exit_task_1,12,end_after_ms
1877487616,357710908,middle_task_4,38,end_after_ms
1874046976,357710908,middle_task_4,75,end_after_ms
1875193856,357710909,sensor_task_2,12,end_after_ms
1875767296,357710913,middle_task_11,19,end_after_ms
1876340736,357710919,middle_task_5,75,end_after_ms
1876914176,357710919,middle_task_5,49,end_after_ms
1874620416,357710921,middle_task_1,33,end_after_ms
1875767296,357710921,sensor_task_4,8,end_after_ms
1874046976,357710921,sensor_task_4,13,end_after_ms
1877487616,357710921,sensor_task_4,13,end_after_ms
1875767296,357710928,sensor_task_1,7,end_after_ms
1875193856,357710932,middle_task_3,23,end_after_ms
1877487616,357710933,sensor_task_2,12,end_after_ms
1874620416,357710933,sensor_task_2,12,end_after_ms
1877487616,357710936,sensor_task_3,3,end_after_ms
1874046976,357710941,middle_task_6,20,end_after_ms
1876340736,357710954,middle_task_9,35,end_after_ms
1874620416,357710956,middle_task_3,23,end_after_ms
1876914176,357710960,middle_task_10,41,end_after_ms
1874046976,357710960,middle_task_11,19,end_after_ms
1875767296,357710961,middle_task_1,33,end_after_ms
1876340736,357710963,middle_task_12,9,end_after_ms
1875767296,357710972,sensor_task_4,10,end_after_ms
1876340736,357710972,sensor_task_4,8,end_after_ms
1874046976,357710972,exit_task_1,12,end_after_ms
1877487616,357710974,middle_task_4,38,end_after_ms
1874046976,357710975,sensor_task_3,3,end_after_ms
1873473536,357710977,middle_task_2,83,end_after_ms
1875193856,357710977,middle_task_2,45,end_after_ms
1877487616,357710982,sensor_task_4,8,end_after_ms
1876340736,357710984,sensor_task_2,12,end_after_ms
1876914176,357710984,sensor_task_2,23,end_after_ms
1875193856,357710986,middle_task_8,9,end_after_ms
1873473536,357710994,middle_task_7,17,end_after_ms
1875193856,357710998,sensor_task_2,12,end_after_ms
1873473536,357711001,sensor_task_1,7,end_after_ms
1875767296,357711004,middle_task_6,32,end_after_ms
1876340736,357711004,middle_task_6,20,end_after_ms
1874046976,357711014,middle_task_4,38,end_after_ms
