,time_stamp,risk_level,fps
0,170.39487923388882,no_risk,5.868720964480229
1,342.4889982774399,no_risk,5.810773811201151
2,517.8665934549967,no_risk,5.701982622053713
3,683.2848879615802,no_risk,6.045280559703757
4,851.7157271506218,no_risk,5.937155005667526
5,1016.6871382252459,no_risk,6.0616563408532285
6,1196.70200088243,no_risk,5.555096869442252
7,1364.9330076136673,no_risk,5.944207429000178
8,1535.991883025258,no_risk,5.845940455260598
9,1708.5357824470102,no_risk,5.795626523750234
10,1886.89902147078,no_risk,5.606536444803703
11,2067.339608207989,no_risk,5.541990402948457
12,2236.6537347256944,no_risk,5.906181726044153
13,2411.4050778472333,no_risk,5.722416675816357
14,2588.3666074321313,no_risk,5.650945730101445
15,2760.1288243330114,no_risk,5.822002172789121
16,2923.99139394748,no_risk,6.102674957147156
17,3099.2112569371607,no_risk,5.707115522963818
18,3260.838224844076,no_risk,6.187086307131132
19,3418.1318348142195,no_risk,6.357537348083087
20,3582.028090815333,no_risk,6.101420644979255
21,3751.858418409856,no_risk,5.8882298242251725
22,3919.9751087288505,no_risk,5.948249386200384
23,4101.579324468631,no_risk,5.506480099740048
24,4276.554550889286,no_risk,5.715094762020308
25,4447.398911516199,no_risk,5.853280707250139
26,4624.09215052692,no_risk,5.659526112028133
27,4789.160892424446,no_risk,6.058082157194832
28,4957.690925160061,no_risk,5.933660510045523
29,5132.970262948735,no_risk,5.70517901662576
30,5311.22628489173,no_risk,5.609908653295269
31,5471.27797643066,no_risk,6.247981451397326
32,5632.779183849841,no_risk,6.191904171988461
33,5791.116879067101,no_risk,6.3156154864315015
34,5944.741127669235,no_risk,6.509389039160517
35,6104.870300134541,no_risk,6.24495827090257
36,6264.809041187934,no_risk,6.252393844129157
37,6427.944079986695,no_risk,6.129890962502366
38,6587.653411789654,no_risk,6.261374890940949
39,6745.453668021912,no_risk,6.337125324613867
40,6911.958441897867,no_risk,6.005833807173565
41,7069.778455452979,no_risk,6.336331986505562
42,7235.061134613221,no_risk,6.0502407456167715
43,7385.2265518864115,no_risk,6.659322886445525
44,7543.863256563418,no_risk,6.303711376481615
45,7701.278872331797,no_risk,6.35260990543274
46,7857.997348880117,no_risk,6.380868561414823
47,8021.551892387827,no_risk,6.114168267987363
48,8194.423281854313,no_risk,5.784647205568195
49,8373.965792732237,no_risk,5.5697115692000665
50,8564.479667676185,no_risk,5.2489615273124475
51,8751.976089890168,no_risk,5.3334351034108725
52,8959.844846743974,no_risk,4.810727764650551
53,9161.993114647086,no_risk,4.946864053662285
54,9365.714965294957,no_risk,4.908653621689695
55,9568.201657547734,no_risk,4.938596155996465
56,9768.479871910655,no_risk,4.993054302890456
57,9959.679212258083,no_risk,5.230143567351758
58,10151.08718730222,no_risk,5.224442710756458
59,10337.394320461699,no_risk,5.367481013966347
60,10514.863981047996,no_risk,5.634765946451646
61,10702.515444110379,no_risk,5.329028528104588
62,10899.06394182303,no_risk,5.087802815272475
63,11090.09808276453,no_risk,5.234666406075659
64,11288.835732877791,no_risk,5.031759203301948
65,11484.246328176936,no_risk,5.117429781477033
66,11675.502544184019,no_risk,5.22858823037138
67,11861.894546259111,no_risk,5.365037066328246
68,12041.60991121422,no_risk,5.564354501629777
69,12232.943494712701,no_risk,5.226474002709197
70,12410.295996149176,no_risk,5.638488275611861
71,12580.60056754312,no_risk,5.871832986131789
72,12749.165718233764,no_risk,5.932424323193795
73,12913.860834284043,no_risk,6.071825467457772
74,13080.17824252248,no_risk,6.012599706738944
75,13243.884088397006,no_risk,6.108517351093588
76,13406.186370118894,no_risk,6.161342831356761
77,13563.308843056062,no_risk,6.3644619468272525
78,13727.431952731857,no_risk,6.092987160524674
79,13891.021878654377,no_risk,6.112845851361404
80,14054.79908793592,no_risk,6.105855658347059
81,14213.600248097093,no_risk,6.297183213177206
82,14380.637185854563,no_risk,5.986699788833268
83,14537.489029324406,no_risk,6.375443079776496
84,14699.60959284024,no_risk,6.168248976647171
85,14866.876180512772,no_risk,5.9784803044930515
